item_name,list_price,unit_cost,stock_code,vat_rate,supplier_code
"Mythos beer 4,7% vol. 330ml",1.66,0.94,ADN001,UK Standard Rate,S00-48
Apple juice 100% 1Lt,1.4,0.95,AG001,UK Standard Rate,S00-19
Multivitamin 8 fruits juice 100% 1Lt,1.4,0.99,AG003,UK Standard Rate,S00-19
Peach nectar juice 1Lt,1.4,0.9,AG005,UK Standard Rate,S00-19
Sour cherry drink 250ml,0.69,0.45,AG029,UK Standard Rate,S00-19
Babatzim ouzo 200ml,7.49,6.5,AS001,UK Standard Rate,S00-49
Babatzim ouzo 700ml,19.95,16,AS003,UK Standard Rate,S00-49
Babatzim tsipouro without anise 200ml,8.25,7,AS005,UK Standard Rate,S00-49
Babatzim tsipouro without anise 700ml,21,18,AS007,UK Standard Rate,S00-49
Alfa beer 5% vol. 330ml,1.66,0.98,AS009,UK Standard Rate,S00-49
Dekaraki tsipouro without anise 700ml,21,19,AS011,UK Standard Rate,S00-49
Kourtaki retsina 12% vol. 750ml,7.2,6,AS013,UK Standard Rate,S00-49
KEO Aphrodite White 750ml,8.99,7.3,AS015,UK Standard Rate,S00-49
KEO Othello Red 750ml,8.99,7.3,AS017,UK Standard Rate,S00-49
KEO St. Panteleimon white 750ml,8.99,7.3,AS019,UK Standard Rate,S00-49
"KEO beer 4,5% vol. 330ml",1.66,1.44,AS021,UK Standard Rate,S00-49
Metaxa brandy 5 stars 700ml,22.99,20,AS039,UK Standard Rate,S00-49
Metaxa brandy 7 stars 700ml,24.99,22,AS041,UK Standard Rate,S00-49
FIX Hellas BEER  330ml,1.99,1.3,AS054,UK Standard Rate,S00-49
KEO St. Panteleimon red 750ml,8.99,7.3,AS057,UK Standard Rate,S00-49
"KEO beer 4,5% vol. 630ml",3.5,2.45,AS060,UK Standard Rate,S00-49
BABAJIM ouzo 200ml,7.49,6.5,BA02,UK Standard Rate,S00-98
BABAJIM tsipouro without anise 200ml,8.25,7,BA04,UK Standard Rate,S00-98
GNHSION BABATZIM 700ml,22.99,20,BA05,UK Standard Rate,S00-98
Dios mineral water 500ml,0.46,0.2,DI001,UK Standard Rate,S00-101
ION Chocofreta milk chocolate bar with hazelnuts 38g,0.65,0.45,EB012,UK Standard Rate,S00-111
ION chocofreta dark 38gr,0.65,0.45,EB013,UK Standard Rate,S00-111
ION Chocofreta milk chocolate bar with strawberry 38g,0.65,0.45,EB014,UK Standard Rate,S00-111
ION Derby bar with caramel 38g,0.65,0.45,EB015,UK Standard Rate,S00-111
ION Derby bar with white chocolate 38g,0.65,0.45,EB016,UK Standard Rate,S00-111
ION Milk Chocolate stevia 60gr,2.2,1.6,EB020,UK Standard Rate,S00-111
ION Dark No Added Sugar 60gr,2.2,1.6,EB021,UK Standard Rate,S00-111
ION Milk chocolate bar with almonds 100g,2.05,1.55,EB022,UK Standard Rate,S00-111
ION milk chocolate bar with whole hazelnuts 100g,2,1.55,EB023,UK Standard Rate,S00-111
ION Break milk chocolate bar 85g,2.1,1.55,EB024,UK Standard Rate,S00-111
"ION Break milk chocolate bar with rasins, almonds and hazelnuts 85g",2.1,1.55,EB025,UK Standard Rate,S00-111
ION Break chocolate pistachio 85gr,2.1,1.55,EB026,UK Standard Rate,S00-111
ION Chocofreta chocolate wafer bar 38g,0.65,0.45,EB027,UK Standard Rate,S00-111
Papadopoulos biscotello with cocoa cream 200g,1.9,1.35,EB039,UK Standard Rate,S00-111
Green Cola 330ml,1.19,0.61,EFB01,UK Standard Rate,S00-4
Takeaway single grill box (220x158x50) 10Kg,40,30,REB001,UK Standard Rate,S00-28
Takeaway double grill box (250x170x60) 10Kg,40,30,REB002,UK Standard Rate,S00-28
Takeaway double chips box (159x135x59) 10Kg,40,30,REB003,UK Standard Rate,S00-28
Takeaway single chips box (122x110x55) 10Kg,40,30,REB004,UK Standard Rate,S00-28
Takeaway greaseproof papers (20x30) 10Kg,40,36.5,REB005,UK Standard Rate,S00-28
Takeaway greaseproof papers (25x35) 10Kg,40,36.5,REB006,UK Standard Rate,S00-28
Takeaway foil lined paper bags (9.5x29) 10Kg,60,49,REB007,UK Standard Rate,S00-28
Takeaway foil lined paper bags (12x29) 10Kg,60,49,REB008,UK Standard Rate,S00-28
Takeaway foil lined paper bags (12x36) 10Kg,60,49,REB009,UK Standard Rate,S00-28
"Takeaway greaseproof papers ""The Greek way"" (20x30)10Kg",0,34.92,REB012,UK Standard Rate,S00-28
"Takeaway greaseproof papers ""Gyro-vision"" 10Kg",0,34.92,REB013,UK Standard Rate,S00-28
"Takeaway greaseproof papers ""Greek2go"" / Kg",0,3.49,REB014,UK Standard Rate,S00-28
"Takeaway Foil linen paper Bag (9,5 x 29) 10kg  It's all Greek to me",0,50.02,REB016,UK Standard Rate,S00-28
Takeaway Foil linen paper Bag (12 x 29) 10kg  It's all Greek to me,0,50.02,REB017,UK Standard Rate,S00-28
Takeaway foil lined paper bags (12x36) 10Kg IT's All Greek to me,60,50.02,REB018,UK Standard Rate,S00-28
Takeaway greaseproof papers (20x30) 10Kg IT's All Greek To me,0,35,REB019,UK Standard Rate,S00-28
Takeaway Greaseproof Paper (45cmX51cm) box of 10 kg Royal Kebab,0,36.92,REB020,UK Standard Rate,S00-28
Takeaway double chips box 2 (160x135x60) 10Kg,40,30,REB021,UK Standard Rate,S00-28
Takeaway greaseproof papers (25x35) 10Kg Feel Greek,40,32.92,REB022,UK Standard Rate,S00-28
"Takeaway Foil linen paper Bag (9,5 x 29) 10kg  Feel Greek",0,47.02,REB023,UK Standard Rate,S00-28
Takeaway single grill box kalamaki (249x89x65) 10Kg,40,30,REB024,UK Standard Rate,S00-28
Takeaway greaseproof papers (25x35) 10Kg Greek Street,0,0,REB025,UK Standard Rate,S00-28
Takeaway foil lined paper bags (12x29) 10Kg Greek Street,0,0,REB026,UK Standard Rate,S00-28
ION Derby bar 38g,0.65,0.45,EB040,UK Standard Rate,S00-111
"ION Chocofreta milk chocolate covered wafer, gluten free 38g",0.65,0.45,EB041,UK Standard Rate,S00-111
ION Chocofreta with white chocolate 38g,0.65,0.45,EB042,UK Standard Rate,S00-111
ION Milk chocolate bar 100g,2.05,1.55,EB043,UK Standard Rate,S00-111
LACTA milk chocolate bar 85g,2.99,1.5,MOND034,UK Standard Rate,S00-141
LACTA milk chocolate bar with almonds 85g,2.99,1.5,MOND035,UK Standard Rate,S00-141
PAVLIDIS Dark chocolate bar 100g,2.99,1.5,MOND032,UK Standard Rate,S00-141
PAVLIDIS Kiss chocolate bar with strawberry 27.5g,0.9,0.4,MOND031,UK Standard Rate,S00-141
Merenda chocolate and hazelnut spread 360g,5.45,2.55,MOND038,UK Standard Rate,S00-141
ION Dark classic chocolate bar 90g,2.2,1.45,EB052,UK Standard Rate,S00-111
ION Break milk chocolate bar with hazelnuts 85g,2.1,1.55,EB054,UK Standard Rate,S00-111
Merenda chocolate and hazelnut spread 1Kg,9.99,6.99,MOND033,UK Standard Rate,S00-141
LACTA Chocolate Brownie Oreo 105gr,2.99,1.5,MOND030,UK Standard Rate,S00-141
"Vaeni Askos bag, White dry wine 11% vol. 5Lt",35,28,VA001,UK Standard Rate,S00-52
"Vaeni Askos bag, Rose demi wine 11% vol. 5Lt",35,28,VA003,UK Standard Rate,S00-52
"Vaeni Askos bag, Red dry wine 11% vol. 5Lt",35,28,VA005,UK Standard Rate,S00-52
"Askos bag, Retsina 11% vol. 5Lt",35,28,VA007,UK Standard Rate,S00-52
Vaeni DAMASCENOS RED WINE 750 ml,16.9,10.7,VA029,UK Standard Rate,S00-52
"Mythos beer 4,7% vol. 330ml  (Box of 24)",39.84,22.56,ADN001-24,UK Standard Rate,
Apple juice 100% 1Lt  (Pack of 12),16.8,11.4,AG001-12,UK Standard Rate,
Multivitamin 8 fruits juice 100% 1Lt  (Pack of 12),16.8,11.88,AG003-12,UK Standard Rate,
Peach nectar juice 1Lt  (Pack of 12),16.8,10.8,AG005-12,UK Standard Rate,
Cocktail 3 fruits nectar juice 1Lt  (Pack of 12),0,10.8,AG007-12,UK Standard Rate,
Orange drink 250ml  (Pack of 27),16.2,12.15,AG037-27,UK Standard Rate,
Sour cherry drink 1Lt  (Pack of 12),16.8,11.88,AG011-12,UK Standard Rate,
Pomegranate nectar 1Lt  (Pack of 12),0,11.88,AG013-12,UK Standard Rate,
Lemonade drink 1Lt  (Pack of 12),0,10.8,AG015-12,UK Standard Rate,
Multivitamin 8 fruits juice 100% 250ml  (Pack of 27),18.63,12.15,AG017-27,UK Standard Rate,
